,,Unemployment Rate (percent),,,,,,,,,,,
FIPS ,Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,Median Household Income (2019),,% of State Median HH Income
48000,Texas,6.7,6.3,5.2,4.5,4.6,4.3,3.9,3.5,7.6,"$64,044",,100.0%
48001,"Anderson County, TX",6.3,5.8,4.7,4.0,4.3,3.7,3.1,2.9,5.6,"$48,461",,75.7%
48003,"Andrews County, TX",4.0,3.8,3.0,3.5,4.7,3.1,2.4,2.3,8.2,"$74,918",,117.0%
48005,"Angelina County, TX",6.9,6.5,5.3,5.6,5.9,5.1,4.4,4.0,7.6,"$51,750",,80.8%
48007,"Aransas County, TX",6.9,6.6,5.6,5.1,5.6,6.9,6.0,4.3,8.5,"$53,085",,82.9%
48009,"Archer County, TX",5.5,5.3,4.6,4.5,4.3,3.4,3.1,2.8,5.3,"$63,731",,99.5%
48011,"Armstrong County, TX",4.4,4.0,3.3,2.7,2.8,2.6,2.7,2.7,4.3,"$64,424",,100.6%
48013,"Atascosa County, TX",6.7,6.3,5.0,4.8,5.3,4.3,3.8,3.6,8.4,"$57,309",,89.5%
48015,"Austin County, TX",6.4,5.9,4.8,4.6,5.3,4.4,3.7,3.4,6.6,"$68,311",,106.7%
48017,"Bailey County, TX",6.9,7.2,5.1,4.3,4.4,4.3,4.4,3.7,4.8,"$46,174",,72.1%
48019,"Bandera County, TX",6.5,6.1,4.8,4.0,4.1,3.6,3.4,3.3,5.8,"$59,604",,93.1%
48021,"Bastrop County, TX",6.6,6.2,4.9,3.9,3.7,3.6,3.4,3.1,6.0,"$62,627",,97.8%
48023,"Baylor County, TX",5.1,5.3,4.3,3.6,3.6,3.4,3.2,2.3,3.5,"$41,539",,64.9%
48025,"Bee County, TX",7.0,6.6,5.9,6.2,7.5,6.5,5.1,4.4,9.8,"$44,171",,69.0%
48027,"Bell County, TX",7.4,7.0,5.9,4.7,4.5,4.3,4.2,3.8,7.0,"$54,831",,85.6%
48029,"Bexar County, TX",6.3,5.9,4.7,3.8,3.8,3.6,3.4,3.1,7.5,"$58,956",,92.1%
48031,"Blanco County, TX",5.1,4.7,3.7,3.2,3.1,2.8,2.6,2.4,3.8,"$68,404",,106.8%
48033,"Borden County, TX",4.1,4.1,3.1,2.9,3.6,3.7,3.2,2.5,3.3,"$71,926",,112.3%
48035,"Bosque County, TX",7.2,6.5,5.2,4.5,4.3,4.0,3.7,3.4,5.5,"$55,179",,86.2%
48037,"Bowie County, TX",7.4,7.7,6.4,4.8,4.7,4.6,5.0,4.4,7.4,"$51,207",,80.0%
48039,"Brazoria County, TX",6.6,6.2,5.2,4.6,5.2,5.3,4.6,4.2,8.6,"$83,704",,130.7%
48041,"Brazos County, TX",5.2,4.9,4.0,3.3,3.5,3.1,2.9,2.7,5.3,"$54,471",,85.1%
48043,"Brewster County, TX",5.1,5.6,4.7,4.0,3.8,3.5,3.4,2.9,6.7,"$48,581",,75.9%
48045,"Briscoe County, TX",5.5,5.7,4.2,3.9,4.4,4.3,3.9,3.6,4.8,"$44,259",,69.1%
48047,"Brooks County, TX",8.7,9.1,7.8,10.0,11.8,8.3,6.4,5.1,10.7,"$31,410",,49.0%
48049,"Brown County, TX",6.7,6.5,5.2,4.4,4.4,3.9,3.7,3.7,6.5,"$56,040",,87.5%
48051,"Burleson County, TX",6.3,6.2,4.8,4.4,4.7,4.2,3.6,3.1,6.3,"$61,745",,96.4%
48053,"Burnet County, TX",5.9,5.5,4.4,3.7,3.5,3.2,2.9,2.7,4.7,"$62,827",,98.1%
48055,"Caldwell County, TX",7.1,6.6,5.3,4.4,4.3,3.9,3.7,3.4,6.3,"$55,301",,86.3%
48057,"Calhoun County, TX",7.3,6.2,4.8,4.0,5.6,5.8,4.1,3.2,5.8,"$55,909",,87.3%
48059,"Callahan County, TX",6.0,5.8,4.5,4.3,4.3,3.7,3.4,3.1,5.4,"$50,812",,79.3%
48061,"Cameron County, TX",10.2,10.0,8.4,7.2,7.2,7.0,6.2,5.5,10.2,"$40,893",,63.9%
48063,"Camp County, TX",8.0,7.4,6.2,6.2,6.9,5.7,4.9,4.2,7.4,"$47,091",,73.5%
48065,"Carson County, TX",4.5,4.5,3.4,3.2,3.3,3.2,2.8,2.6,4.2,"$69,760",,108.9%
48067,"Cass County, TX",9.1,9.3,7.7,6.8,7.2,6.0,5.1,4.3,7.9,"$44,529",,69.5%
48069,"Castro County, TX",4.3,4.7,4.0,3.4,3.1,3.3,2.9,2.8,3.6,"$51,736",,80.8%
48071,"Chambers County, TX",8.0,7.4,5.8,5.4,6.1,6.5,5.4,4.5,9.5,"$93,351",,145.8%
48073,"Cherokee County, TX",7.2,7.0,5.9,5.2,5.1,4.6,4.1,3.8,7.9,"$46,576",,72.7%
48075,"Childress County, TX",4.4,4.3,3.7,3.1,3.0,3.0,2.6,2.7,3.7,"$44,095",,68.9%
48077,"Clay County, TX",5.6,5.6,4.6,4.4,4.4,3.5,3.2,3.1,5.5,"$59,983",,93.7%
48079,"Cochran County, TX",7.5,6.7,5.2,5.2,5.0,4.6,4.4,3.5,7.1,"$43,742",,68.3%
48081,"Coke County, TX",5.0,5.1,4.4,4.1,4.1,3.7,3.4,3.2,5.5,"$48,435",,75.6%
48083,"Coleman County, TX",7.5,7.6,6.2,5.6,5.8,4.5,3.9,4.1,7.4,"$44,834",,70.0%
48085,"Collin County, TX",5.9,5.6,4.6,3.7,3.5,3.5,3.3,3.1,6.3,"$96,847",,151.2%
48087,"Collingsworth County, TX",4.9,5.2,4.1,3.7,3.5,3.6,3.1,3.1,4.3,"$40,314",,62.9%
48089,"Colorado County, TX",6.3,5.8,4.5,4.0,4.7,4.0,3.3,3.1,5.6,"$55,607",,86.8%
48091,"Comal County, TX",6.0,6.0,4.6,3.7,3.6,3.4,3.2,3.0,6.2,"$87,976",,137.4%
48093,"Comanche County, TX",6.3,5.9,4.9,4.3,4.3,3.7,3.6,3.2,5.5,"$54,122",,84.5%
48095,"Concho County, TX",4.2,4.0,3.0,3.3,3.4,4.2,3.6,3.2,4.5,"$43,321",,67.6%
48097,"Cooke County, TX",5.0,5.0,3.9,3.7,4.0,3.6,3.1,2.8,7.1,"$61,186",,95.5%
48099,"Coryell County, TX",7.3,7.2,6.0,4.8,4.7,4.4,4.2,4.0,6.6,"$53,083",,82.9%
48101,"Cottle County, TX",7.4,6.9,6.3,7.1,5.1,4.2,4.3,4.2,4.9,"$40,449",,63.2%
48103,"Crane County, TX",4.9,4.5,4.1,5.8,8.6,5.3,3.9,4.0,13.6,"$68,626",,107.2%
48105,"Crockett County, TX",5.0,5.2,3.8,6.0,7.5,4.1,2.9,2.9,8.9,"$54,165",,84.6%
48107,"Crosby County, TX",7.1,6.0,4.8,4.4,4.4,4.2,4.7,3.9,5.2,"$38,871",,60.7%
48109,"Culberson County, TX",6.0,5.1,4.2,4.2,4.1,3.7,3.1,4.1,6.5,"$44,462",,69.4%
48111,"Dallam County, TX",3.7,3.5,3.0,2.2,2.2,2.2,2.1,2.0,2.8,"$55,793",,87.1%
48113,"Dallas County, TX",7.1,6.6,5.5,4.3,4.0,3.9,3.8,3.5,7.7,"$61,807",,96.5%
48115,"Dawson County, TX",6.4,6.4,4.9,4.6,5.0,4.9,4.3,3.9,8.7,"$48,165",,75.2%
48117,"Deaf Smith County, TX",4.7,4.5,3.7,3.2,3.1,3.1,2.8,2.7,3.6,"$46,178",,72.1%
48119,"Delta County, TX",6.7,6.4,6.1,4.6,3.8,3.4,3.5,3.4,5.5,"$51,348",,80.2%
48121,"Denton County, TX",5.7,5.4,4.5,3.6,3.4,3.4,3.2,3.0,6.5,"$90,910",,141.9%
48123,"DeWitt County, TX",4.8,4.8,3.9,4.0,5.5,4.4,3.1,2.6,6.0,"$52,544",,82.0%
48125,"Dickens County, TX",10.6,9.4,6.3,4.7,4.9,4.9,4.3,4.3,6.3,"$41,973",,65.5%
48127,"Dimmit County, TX",5.8,5.1,3.8,4.7,7.1,5.1,3.0,2.5,6.4,"$40,315",,62.9%
48129,"Donley County, TX",5.9,5.1,4.9,4.2,4.0,3.7,3.5,3.4,4.4,"$41,093",,64.2%
48131,"Duval County, TX",7.0,6.4,5.6,8.1,10.9,7.7,5.3,4.4,12.1,"$37,100",,57.9%
48133,"Eastland County, TX",6.6,6.1,4.9,4.8,5.5,4.3,3.4,3.3,6.7,"$46,991",,73.4%
48135,"Ector County, TX",4.6,4.4,3.5,4.7,6.4,4.1,2.7,2.7,11.0,"$65,564",,102.4%
48137,"Edwards County, TX",6.4,5.9,4.4,4.6,4.6,3.2,2.8,2.3,3.5,"$40,424",,63.1%
48139,"Ellis County, TX",6.7,6.2,5.0,4.0,3.8,3.5,3.3,3.1,6.0,"$78,341",,122.3%
48141,"El Paso County, TX",8.5,8.0,6.5,5.2,5.0,4.7,4.2,3.8,8.3,"$48,629",,75.9%
48143,"Erath County, TX",5.5,5.4,4.3,4.0,4.1,3.4,3.1,3.2,5.7,"$53,044",,82.8%
48145,"Falls County, TX",7.3,7.1,5.6,4.3,4.4,4.3,3.9,3.3,6.0,"$41,484",,64.8%
48147,"Fannin County, TX",7.0,7.0,5.4,4.1,3.8,3.4,3.1,2.7,4.7,"$56,123",,87.6%
48149,"Fayette County, TX",4.8,4.5,3.5,3.3,3.7,3.2,2.8,2.6,4.7,"$62,195",,97.1%
48151,"Fisher County, TX",5.4,5.5,4.6,3.9,4.3,3.6,3.2,2.9,4.5,"$51,053",,79.7%
48153,"Floyd County, TX",6.4,8.9,7.2,5.6,5.0,5.5,5.2,4.4,6.2,"$45,022",,70.3%
48155,"Foard County, TX",5.8,5.2,4.3,4.2,3.7,3.5,2.9,2.9,4.2,"$38,615",,60.3%
48157,"Fort Bend County, TX",5.9,5.5,4.6,4.3,5.0,4.7,4.0,3.5,7.7,"$101,361",,158.3%
48159,"Franklin County, TX",7.4,6.6,5.2,4.9,4.9,4.7,4.2,3.6,5.3,"$50,630",,79.1%
48161,"Freestone County, TX",6.7,7.0,5.7,5.5,6.7,6.4,5.9,4.8,8.3,"$52,511",,82.0%
48163,"Frio County, TX",5.0,4.7,3.6,3.9,4.9,4.0,2.9,2.6,5.7,"$40,360",,63.0%
48165,"Gaines County, TX",4.2,4.2,3.3,3.3,3.7,3.1,2.6,2.4,5.6,"$67,171",,104.9%
48167,"Galveston County, TX",7.6,6.9,5.7,5.0,5.3,5.3,4.7,4.0,8.7,"$73,214",,114.3%
48169,"Garza County, TX",4.9,4.6,3.7,3.7,3.9,3.3,3.0,2.6,6.8,"$48,975",,76.5%
48171,"Gillespie County, TX",4.7,4.4,3.6,2.9,2.8,2.6,2.6,2.4,4.8,"$62,143",,97.0%
48173,"Glasscock County, TX",3.9,3.6,2.7,2.8,3.9,2.7,2.1,2.3,3.6,"$93,759",,146.4%
48175,"Goliad County, TX",5.5,5.2,4.2,4.5,5.8,4.9,3.8,3.4,7.7,"$56,758",,88.6%
48177,"Gonzales County, TX",5.0,5.2,3.9,3.7,4.2,3.5,3.0,2.7,5.4,"$48,425",,75.6%
48179,"Gray County, TX",5.6,5.2,4.1,5.7,6.9,5.3,3.9,3.6,8.1,"$52,543",,82.0%
48181,"Grayson County, TX",6.8,6.3,4.9,4.1,3.9,3.6,3.3,3.1,5.9,"$57,439",,89.7%
48183,"Gregg County, TX",6.2,6.0,4.9,5.0,6.1,5.2,4.1,3.7,8.3,"$53,137",,83.0%
48185,"Grimes County, TX",6.4,6.1,4.8,5.4,6.6,5.4,4.1,4.0,8.0,"$51,651",,80.6%
48187,"Guadalupe County, TX",5.6,5.5,4.4,3.6,3.6,3.4,3.2,3.0,6.1,"$78,801",,123.0%
48189,"Hale County, TX",6.9,13.4,9.5,6.4,5.6,5.2,4.8,4.4,6.8,"$49,187",,76.8%
48191,"Hall County, TX",7.8,7.1,6.3,5.4,6.7,6.2,4.4,4.1,5.8,"$35,940",,56.1%
48193,"Hamilton County, TX",5.8,6.0,4.7,4.7,4.9,4.0,3.3,3.0,4.5,"$52,505",,82.0%
48195,"Hansford County, TX",3.4,3.3,2.6,3.0,3.1,2.6,2.3,2.3,3.5,"$58,703",,91.7%
48197,"Hardeman County, TX",5.9,5.8,5.0,4.9,3.9,4.0,3.6,3.0,4.4,"$40,057",,62.5%
48199,"Hardin County, TX",8.4,8.1,6.4,5.7,6.1,6.2,5.2,4.6,9.0,"$62,616",,97.8%
48201,"Harris County, TX",6.6,6.1,5.1,4.7,5.3,5.1,4.4,3.9,8.9,"$61,638",,96.2%
48203,"Harrison County, TX",7.4,6.9,5.6,5.3,6.0,5.3,4.4,4.0,7.9,"$55,171",,86.1%
48205,"Hartley County, TX",3.3,3.2,2.6,2.1,2.0,2.0,1.8,1.6,2.1,"$72,796",,113.7%
48207,"Haskell County, TX",5.3,5.0,4.0,3.5,4.2,4.8,3.9,3.2,4.3,"$38,613",,60.3%
48209,"Hays County, TX",5.8,5.4,4.3,3.5,3.3,3.2,3.0,2.8,6.3,"$72,890",,113.8%
48211,"Hemphill County, TX",2.9,3.0,2.4,3.2,3.7,2.5,2.1,2.6,4.4,"$71,299",,111.3%
48213,"Henderson County, TX",7.5,7.2,5.7,4.9,4.7,4.2,3.8,3.5,6.4,"$49,896",,77.9%
48215,"Hidalgo County, TX",10.5,10.4,8.9,8.0,7.8,7.5,6.6,6.3,11.6,"$41,656",,65.0%
48217,"Hill County, TX",6.9,6.5,5.3,4.6,4.4,4.0,3.7,3.3,6.3,"$53,210",,83.1%
48219,"Hockley County, TX",5.3,5.1,3.9,4.2,4.7,3.7,3.1,2.9,7.9,"$51,149",,79.9%
48221,"Hood County, TX",6.5,6.1,5.0,4.5,4.7,4.2,3.7,3.4,6.6,"$74,534",,116.4%
48223,"Hopkins County, TX",6.4,5.8,4.8,4.2,4.0,3.6,3.4,3.1,5.1,"$50,332",,78.6%
48225,"Houston County, TX",7.0,6.3,5.0,4.5,4.6,4.4,3.7,3.1,5.3,"$43,601",,68.1%
48227,"Howard County, TX",5.6,5.4,4.4,4.6,5.5,4.3,3.3,3.1,8.1,"$61,112",,95.4%
48229,"Hudspeth County, TX",7.4,7.0,6.4,5.7,6.0,5.8,4.6,4.4,8.0,"$39,309",,61.4%
48231,"Hunt County, TX",8.2,7.5,6.0,4.8,4.3,4.0,3.8,3.6,6.5,"$57,513",,89.8%
48233,"Hutchinson County, TX",6.5,6.2,4.4,4.4,5.6,6.1,5.0,4.4,7.2,"$57,936",,90.5%
48235,"Irion County, TX",4.5,4.2,3.7,3.6,3.2,3.2,3.1,2.4,6.0,"$68,630",,107.2%
48237,"Jack County, TX",5.7,5.4,3.8,4.2,5.0,3.7,2.5,3.1,7.0,"$55,358",,86.4%
48239,"Jackson County, TX",5.1,5.0,4.0,3.8,4.7,4.0,3.3,3.0,5.8,"$55,800",,87.1%
48241,"Jasper County, TX",10.6,10.5,8.3,7.5,7.7,7.5,6.6,6.1,11.2,"$47,252",,73.8%
48243,"Jeff Davis County, TX",4.9,4.1,3.7,3.3,3.0,3.2,2.9,3.0,5.1,"$53,362",,83.3%
48245,"Jefferson County, TX",11.0,11.0,8.4,7.0,7.0,7.4,6.4,5.8,11.9,"$55,173",,86.1%
48247,"Jim Hogg County, TX",6.5,7.2,6.1,7.2,9.6,7.3,5.7,4.8,9.5,"$38,788",,60.6%
48249,"Jim Wells County, TX",6.1,6.2,5.3,7.9,10.6,7.6,5.5,4.7,13.0,"$44,444",,69.4%
