,,Unemployment Rate (percent),,,,,,,,,,,
48251,"Johnson County, TX",6.6,6.2,5.1,4.4,4.4,3.8,3.5,3.2,6.5,"$66,538",,103.9%
48253,"Jones County, TX",7.2,6.8,5.6,5.5,5.8,5.4,4.8,4.2,7.0,"$51,094",,79.8%
48255,"Karnes County, TX",6.0,5.4,3.7,4.3,4.9,3.5,2.9,2.5,6.3,"$54,843",,85.6%
48257,"Kaufman County, TX",6.9,6.4,5.2,4.1,3.8,3.6,3.5,3.2,6.5,"$75,009",,117.1%
48259,"Kendall County, TX",5.4,5.1,4.1,3.3,3.2,3.1,2.9,2.7,5.0,"$94,899",,148.2%
48261,"Kenedy County, TX",5.1,4.1,3.0,3.2,4.6,3.3,3.7,3.5,5.4,"$46,132",,72.0%
48263,"Kent County, TX",3.8,4.0,3.5,2.6,3.0,2.6,2.4,2.3,3.9,"$52,591",,82.1%
48265,"Kerr County, TX",5.8,5.6,4.4,3.7,3.6,3.4,3.2,2.9,5.9,"$57,789",,90.2%
48267,"Kimble County, TX",4.9,4.9,3.9,3.7,3.8,3.5,3.0,3.0,5.1,"$44,757",,69.9%
48269,"King County, TX",4.5,4.6,4.0,3.5,3.9,3.6,2.8,2.1,1.7,"$71,256",,111.3%
48271,"Kinney County, TX",8.7,9.6,7.3,6.4,5.8,5.6,4.4,3.6,6.0,"$47,076",,73.5%
48273,"Kleberg County, TX",6.9,6.5,5.5,5.9,6.7,6.0,5.0,4.3,8.4,"$47,169",,73.7%
48275,"Knox County, TX",5.2,5.4,4.4,3.8,4.2,4.0,3.6,3.2,5.6,"$40,808",,63.7%
48277,"Lamar County, TX",9.2,8.2,6.2,4.8,4.6,4.2,3.8,3.4,6.5,"$47,061",,73.5%
48279,"Lamb County, TX",7.9,6.9,5.9,9.0,6.5,5.2,4.4,3.8,5.2,"$42,719",,66.7%
48281,"Lampasas County, TX",7.1,7.2,5.7,4.4,4.2,3.8,3.8,3.3,5.4,"$58,817",,91.8%
48283,"La Salle County, TX",4.4,3.8,3.1,4.2,5.1,3.7,2.4,2.4,6.8,"$41,683",,65.1%
48285,"Lavaca County, TX",4.8,4.7,4.0,3.8,4.2,3.6,3.1,3.0,5.2,"$52,632",,82.2%
48287,"Lee County, TX",5.4,5.1,4.0,3.6,3.8,3.3,3.1,2.6,4.9,"$59,250",,92.5%
48289,"Leon County, TX",7.3,7.0,5.4,5.4,6.5,6.4,5.0,4.4,7.8,"$50,522",,78.9%
48291,"Liberty County, TX",9.5,9.0,7.3,7.0,7.5,7.2,5.8,5.0,10.6,"$53,274",,83.2%
48293,"Limestone County, TX",6.8,6.8,5.9,5.1,5.6,5.6,4.7,3.8,7.1,"$43,644",,68.1%
48295,"Lipscomb County, TX",3.8,4.0,3.4,3.9,4.4,3.2,2.7,2.6,4.2,"$65,388",,102.1%
48297,"Live Oak County, TX",4.6,4.4,3.6,4.0,5.9,4.7,3.8,3.1,7.5,"$54,163",,84.6%
48299,"Llano County, TX",6.7,6.5,5.2,4.3,4.2,3.8,3.7,3.5,5.7,"$55,617",,86.8%
48301,"Loving County, TX",6.0,5.3,5.1,5.2,4.7,5.0,1.5,0.8,1.7,"$88,487",,138.2%
48303,"Lubbock County, TX",5.3,5.0,4.0,3.4,3.4,3.2,3.1,2.8,5.7,"$54,733",,85.5%
48305,"Lynn County, TX",6.0,5.3,4.4,4.1,4.0,3.8,3.3,3.0,5.4,"$45,737",,71.4%
48307,"McCulloch County, TX",5.4,5.3,4.3,4.8,4.5,3.6,3.3,5.2,7.5,"$43,262",,67.6%
48309,"McLennan County, TX",6.6,6.2,5.1,4.1,4.0,3.9,3.6,3.3,6.2,"$51,078",,79.8%
48311,"McMullen County, TX",2.3,2.7,2.0,2.1,2.1,1.9,2.0,1.6,2.8,"$68,349",,106.7%
48313,"Madison County, TX",7.0,6.5,4.9,4.3,5.1,4.8,4.4,4.2,7.2,"$46,274",,72.3%
48315,"Marion County, TX",9.1,8.1,6.5,6.5,7.0,5.7,4.5,4.2,8.2,"$37,876",,59.1%
48317,"Martin County, TX",4.5,4.3,3.4,3.5,4.4,3.2,2.5,2.6,6.1,"$68,745",,107.3%
48319,"Mason County, TX",5.2,5.5,4.6,3.9,3.6,3.4,3.1,3.2,5.6,"$54,914",,85.7%
48321,"Matagorda County, TX",10.1,9.8,8.0,6.8,7.3,7.3,6.2,5.7,10.5,"$49,276",,76.9%
48323,"Maverick County, TX",12.4,12.6,11.1,10.7,11.3,9.4,8.2,7.6,15.0,"$40,017",,62.5%
48325,"Medina County, TX",6.5,6.1,5.0,4.4,4.4,3.9,3.5,3.2,6.3,"$60,695",,94.8%
48327,"Menard County, TX",6.3,5.9,4.8,5.3,4.5,4.8,4.1,3.5,5.2,"$38,425",,60.0%
48329,"Midland County, TX",3.9,3.7,2.9,3.5,4.4,3.0,2.1,2.1,8.1,"$85,811",,134.0%
48331,"Milam County, TX",8.5,7.9,6.3,5.3,5.2,5.1,5.5,5.0,7.1,"$48,989",,76.5%
48333,"Mills County, TX",5.4,5.3,4.4,3.7,4.2,3.6,3.5,3.2,4.1,"$46,876",,73.2%
48335,"Mitchell County, TX",5.9,5.6,4.3,5.7,7.0,5.5,4.2,3.7,7.9,"$44,457",,69.4%
48337,"Montague County, TX",5.4,5.0,4.0,4.3,5.0,4.0,3.2,2.9,6.6,"$53,649",,83.8%
48339,"Montgomery County, TX",5.9,5.5,4.5,4.3,4.9,4.4,3.8,3.4,7.5,"$88,833",,138.7%
48341,"Moore County, TX",4.3,4.3,3.5,3.1,3.0,2.9,2.7,2.3,3.8,"$55,099",,86.0%
48343,"Morris County, TX",9.7,9.7,7.9,8.9,10.9,8.7,6.6,5.3,11.4,"$43,304",,67.6%
48345,"Motley County, TX",6.0,6.0,4.2,3.7,3.5,3.6,3.7,3.4,4.6,"$40,217",,62.8%
48347,"Nacogdoches County, TX",6.6,6.6,5.4,4.7,4.7,4.3,3.9,3.7,6.6,"$46,207",,72.1%
48349,"Navarro County, TX",7.2,6.6,5.3,4.2,4.2,4.0,3.7,3.3,6.2,"$48,649",,76.0%
48351,"Newton County, TX",11.0,10.8,8.4,7.6,7.9,8.0,6.7,6.3,11.0,"$45,890",,71.7%
48353,"Nolan County, TX",5.9,5.7,4.3,4.1,4.8,4.1,3.3,2.9,5.3,"$46,389",,72.4%
48355,"Nueces County, TX",6.5,6.2,5.2,5.0,5.6,5.4,4.7,4.1,9.0,"$56,079",,87.6%
48357,"Ochiltree County, TX",3.8,3.8,3.0,4.3,5.3,3.6,2.8,2.7,5.8,"$62,567",,97.7%
48359,"Oldham County, TX",4.2,4.5,3.7,3.0,3.0,2.5,2.6,2.9,3.9,"$59,404",,92.8%
48361,"Orange County, TX",10.4,10.5,8.1,6.6,6.7,7.0,5.8,5.1,10.5,"$62,976",,98.3%
48363,"Palo Pinto County, TX",6.7,6.6,5.2,5.2,5.5,4.1,3.4,3.1,7.0,"$50,159",,78.3%
48365,"Panola County, TX",6.8,6.2,5.0,5.3,7.2,5.5,4.2,4.0,8.4,"$56,882",,88.8%
48367,"Parker County, TX",5.9,5.6,4.6,4.2,4.1,3.5,3.1,2.9,5.9,"$82,501",,128.8%
48369,"Parmer County, TX",4.1,3.9,3.1,2.4,2.5,2.5,2.4,2.2,2.6,"$50,607",,79.0%
48371,"Pecos County, TX",5.1,5.5,4.2,5.2,5.9,4.7,3.7,3.3,8.1,"$52,763",,82.4%
48373,"Polk County, TX",8.0,7.8,6.5,6.1,6.3,6.1,5.1,4.8,8.7,"$50,416",,78.7%
48375,"Potter County, TX",5.3,5.1,4.0,3.4,3.4,3.2,2.9,2.7,5.5,"$41,138",,64.2%
48377,"Presidio County, TX",13.2,13.0,11.8,10.7,10.7,9.5,7.0,6.4,14.7,"$33,499",,52.3%
48379,"Rains County, TX",6.9,6.2,5.0,4.6,4.0,3.6,3.5,3.0,4.7,"$65,657",,102.5%
48381,"Randall County, TX",4.4,4.3,3.5,2.9,3.0,2.8,2.6,2.4,4.5,"$70,694",,110.4%
48383,"Reagan County, TX",3.4,4.0,3.2,4.6,6.2,3.8,2.5,2.6,9.7,"$67,384",,105.2%
48385,"Real County, TX",9.3,8.1,6.3,5.2,5.7,5.7,5.1,4.0,6.7,"$40,834",,63.8%
48387,"Red River County, TX",10.6,10.1,7.9,6.4,5.8,5.3,5.4,4.6,6.4,"$41,325",,64.5%
48389,"Reeves County, TX",6.7,5.8,4.1,4.8,5.3,3.6,2.1,1.8,7.1,"$48,990",,76.5%
48391,"Refugio County, TX",6.0,5.4,4.3,5.4,6.6,5.6,4.6,3.7,8.2,"$46,883",,73.2%
48393,"Roberts County, TX",4.9,4.5,3.8,3.9,4.5,3.9,2.8,2.9,4.6,"$70,705",,110.4%
48395,"Robertson County, TX",8.0,7.1,5.4,4.8,5.1,4.8,4.2,3.6,6.4,"$47,016",,73.4%
48397,"Rockwall County, TX",6.1,5.8,4.6,3.8,3.5,3.4,3.2,3.1,6.0,"$105,763",,165.1%
48399,"Runnels County, TX",5.5,5.3,4.3,3.7,4.0,3.7,3.1,2.8,4.9,"$48,650",,76.0%
48401,"Rusk County, TX",6.2,6.3,5.0,4.8,5.8,5.1,4.1,3.6,7.3,"$56,036",,87.5%
48403,"Sabine County, TX",14.4,13.0,10.7,9.4,9.4,8.6,8.0,6.6,10.8,"$43,778",,68.4%
48405,"San Augustine County, TX",12.0,11.7,9.7,9.1,8.9,7.5,6.5,4.7,9.6,"$40,094",,62.6%
48407,"San Jacinto County, TX",8.2,7.6,5.8,5.6,6.3,5.7,5.0,4.6,8.1,"$42,633",,66.6%
48409,"San Patricio County, TX",7.5,7.2,6.3,6.6,7.5,7.7,6.4,5.5,10.3,"$57,302",,89.5%
48411,"San Saba County, TX",6.2,5.8,4.2,3.7,3.4,3.2,3.1,2.9,5.2,"$46,061",,71.9%
48413,"Schleicher County, TX",4.0,3.6,3.0,5.3,5.2,3.7,2.8,2.8,6.9,"$53,286",,83.2%
48415,"Scurry County, TX",4.4,4.2,3.4,4.2,5.9,4.4,3.4,3.2,8.2,"$56,299",,87.9%
48417,"Shackelford County, TX",3.5,3.3,2.8,2.9,3.8,3.0,2.3,2.2,5.3,"$65,095",,101.6%
48419,"Shelby County, TX",7.2,7.5,5.9,5.3,6.0,5.2,4.3,3.9,6.8,"$39,708",,62.0%
48421,"Sherman County, TX",4.1,4.1,3.2,2.7,3.0,3.1,2.6,2.3,3.1,"$55,473",,86.6%
48423,"Smith County, TX",7.0,6.6,5.3,4.5,4.5,4.1,3.7,3.3,6.8,"$59,538",,93.0%
48425,"Somervell County, TX",6.6,6.1,5.2,5.1,4.8,4.6,4.1,3.6,6.5,"$67,897",,106.0%
48427,"Starr County, TX",14.4,15.1,13.8,13.6,13.4,11.8,10.2,9.9,17.3,"$32,516",,50.8%
48429,"Stephens County, TX",5.9,5.2,4.4,4.2,5.3,4.6,3.6,3.0,6.1,"$46,658",,72.9%
48431,"Sterling County, TX",3.5,3.9,3.0,3.5,3.9,3.7,3.4,3.1,6.4,"$66,790",,104.3%
48433,"Stonewall County, TX",4.3,4.8,3.9,4.4,4.4,3.6,3.4,2.9,5.0,"$48,267",,75.4%
48435,"Sutton County, TX",4.8,4.6,3.6,6.1,8.0,5.1,3.8,3.7,9.8,"$63,427",,99.0%
48437,"Swisher County, TX",5.9,8.5,6.2,4.8,4.3,4.1,4.3,3.6,5.2,"$44,388",,69.3%
48439,"Tarrant County, TX",6.5,6.1,5.1,4.2,4.0,3.7,3.5,3.3,7.3,"$70,130",,109.5%
48441,"Taylor County, TX",5.6,5.3,4.3,3.7,3.7,3.6,3.2,2.9,5.5,"$54,465",,85.0%
48443,"Terrell County, TX",4.6,5.0,4.6,4.8,4.2,4.8,3.4,3.4,4.6,"$45,677",,71.3%
48445,"Terry County, TX",6.5,6.0,4.4,4.7,4.8,5.1,4.1,3.6,7.3,"$42,953",,67.1%
48447,"Throckmorton County, TX",5.3,5.0,4.0,3.2,3.5,4.3,3.3,3.7,4.9,"$42,746",,66.7%
48449,"Titus County, TX",7.5,7.5,6.4,5.8,6.2,5.4,5.1,4.1,6.7,"$49,924",,78.0%
48451,"Tom Green County, TX",5.3,5.2,4.1,4.1,4.5,3.7,3.2,3.0,6.3,"$54,774",,85.5%
48453,"Travis County, TX",5.5,5.1,4.1,3.3,3.2,3.1,2.9,2.6,6.3,"$80,690",,126.0%
48455,"Trinity County, TX",8.2,7.5,6.1,5.9,6.1,5.6,5.2,4.8,8.1,"$43,788",,68.4%
48457,"Tyler County, TX",10.6,10.3,8.1,7.1,7.3,7.4,6.6,5.7,9.9,"$48,254",,75.3%
48459,"Upshur County, TX",6.7,6.4,5.2,5.3,6.4,5.3,4.2,3.7,7.7,"$53,078",,82.9%
48461,"Upton County, TX",4.0,4.2,3.3,3.9,5.3,3.7,3.4,3.0,5.6,"$58,908",,92.0%
48463,"Uvalde County, TX",7.9,7.1,5.8,5.1,5.3,4.7,4.3,3.8,6.4,"$44,690",,69.8%
48465,"Val Verde County, TX",7.6,7.5,5.8,6.0,6.3,5.1,3.9,3.3,7.9,"$45,034",,70.3%
48467,"Van Zandt County, TX",6.9,6.6,5.4,4.5,4.3,3.8,3.5,3.3,6.1,"$55,554",,86.7%
48469,"Victoria County, TX",5.6,5.4,4.2,4.2,5.4,4.9,3.9,3.5,8.3,"$57,344",,89.5%
48471,"Walker County, TX",6.9,6.7,5.5,5.1,5.3,4.7,4.2,3.9,7.2,"$47,519",,74.2%
48473,"Waller County, TX",7.0,6.5,5.2,4.8,5.6,4.9,4.3,3.7,7.8,"$61,822",,96.5%
48475,"Ward County, TX",4.8,4.7,3.6,4.3,5.7,4.1,2.6,2.4,9.4,"$61,396",,95.9%
48477,"Washington County, TX",5.6,5.5,4.7,4.8,5.1,4.2,3.6,3.4,5.6,"$59,039",,92.2%
48479,"Webb County, TX",6.4,6.2,5.2,4.8,4.9,4.2,3.8,3.7,8.5,"$52,576",,82.1%
48481,"Wharton County, TX",6.7,6.0,4.7,4.4,5.0,4.5,3.7,3.4,6.8,"$49,901",,77.9%
48483,"Wheeler County, TX",4.3,4.3,3.6,3.9,4.8,4.0,3.2,3.0,6.0,"$58,544",,91.4%
48485,"Wichita County, TX",6.0,5.9,4.9,4.3,4.4,3.7,3.4,3.2,6.7,"$51,535",,80.5%
48487,"Wilbarger County, TX",6.0,5.8,5.0,4.9,4.7,4.7,4.2,3.6,5.9,"$42,570",,66.5%
48489,"Willacy County, TX",15.7,15.9,12.5,13.1,12.3,11.1,9.9,8.2,12.0,"$35,821",,55.9%
48491,"Williamson County, TX",5.8,5.3,4.4,3.5,3.4,3.3,3.1,2.8,5.9,"$92,661",,144.7%
48493,"Wilson County, TX",5.5,5.3,4.2,3.8,3.9,3.5,3.1,2.8,5.7,"$76,905",,120.1%
48495,"Winkler County, TX",5.6,5.3,4.4,5.7,7.7,5.2,2.9,2.9,9.3,"$64,894",,101.3%
48497,"Wise County, TX",6.4,6.0,4.9,4.7,4.7,4.0,3.5,3.2,6.5,"$70,468",,110.0%
48499,"Wood County, TX",7.8,7.3,6.0,5.3,5.3,4.7,4.3,3.9,6.6,"$56,945",,88.9%
48501,"Yoakum County, TX",4.0,3.9,3.1,3.8,4.8,3.6,2.9,2.9,11.9,"$62,636",,97.8%
48503,"Young County, TX",5.7,5.2,4.1,4.3,4.4,3.8,3.2,3.0,5.3,"$52,643",,82.2%
48505,"Zapata County, TX",6.3,6.3,5.3,7.7,10.8,7.5,5.6,5.0,12.4,"$36,069",,56.3%
48507,"Zavala County, TX",13.4,14.6,12.3,11.3,13.9,11.3,9.7,8.4,14.1,"$32,538",,50.8%